https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
Nc1ccc2ccccc2c1O,CHIKV_Mac-5LD4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C/C=N/[C@]1(N)C[C@H](NC(N)=O)CCc2ccc(Cl)cc21,CHIKV_Mac-469T,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[C@@H]1OCOc2c(Cl)cccc21,CHIKV_Mac-CGYM,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Oc1ccc2c(c1Cl)OCO2,CHIKV_Mac-4LM7,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1nccc2c(Cl)cccc12,CHIKV_Mac-7AA6,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1nccc2c(Cl)cccc12,CHIKV_Mac-C9UJ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc(C)c2c(N)nn(C)c2c1Cl,CHIKV_Mac-DKZR,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1nccc2c(Cl)cccc12,CHIKV_Mac-A9JS,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC1=C2CCCC3=C2C(=N1)CCC3,CHIKV_Mac-55TK,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNc1cnc2cccc3c2c1C=C3,CHIKV_Mac-P3C7,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C[C@@H]1CCC2=C3C(=NC(N)=C31)CCC2,CHIKV_Mac-AZ9E,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1nccc2c(Cl)cccc12,CHIKV_Mac-7MGZ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
